ID,y
30785,0
14243,1
20996,0
31958,1
10457,0
19093,0
14405,1
16875,1
30787,1
6197,1
5807,1
25203,0
5492,1
4992,1
19430,1
8291,0
15930,1
30385,1
24411,0
17934,0
148,1
4042,0
6960,1
32828,0
20546,1
18629,0
15278,1
3100,1
32142,1
19810,0
21102,1
17358,0
4597,1
17702,0
13235,0
22712,1
31850,1
3868,0
10717,1
25648,1
32251,1
30826,1
5359,1
9877,0
12207,0
14493,1
6594,0
28485,1
20251,1
2151,0
30690,0
25494,0
2815,0
5115,1
4779,1
27071,0
20426,0
15668,1
25396,1
28658,0
30911,1
12521,1
26014,0
22641,0
31218,0
302,0
11440,0
28820,1
21035,0
10032,1
12700,0
19279,0
5679,0
29461,1
21644,0
27351,0
5164,1
13957,0
31306,1
9432,1
27018,1
5545,1
5548,0
30919,1
11218,0
29973,0
19815,1
32739,0
2693,0
23686,1
22771,0
9353,1
16280,0
3932,0
30167,1
1484,1
19113,0
29210,0
14410,0
17561,0
17058,0
19847,0
14880,1
9783,0
14133,1
19774,1
32520,1
16129,0
4581,1
4734,0
32806,1
28902,1
6591,0
13257,1
16972,1
28393,0
27688,0
22236,1
23520,0
21548,1
246,0
28084,0
7443,0
4800,0
6184,1
29505,0
23992,1
27800,1
24784,1
4117,0
28400,1
10814,0
12576,0
32156,1
517,1
22821,1
20608,1
25745,0
16270,0
7288,0
6565,1
5777,0
20819,0
30641,0
19844,0
30554,1
21903,1
15200,0
23349,1
8326,1
24175,1
11155,1
28722,1
25950,1
14595,1
29383,0
13196,0
708,1
2751,0
15284,1
6448,1
14006,0
4589,1
12384,1
13347,0
30612,1
23999,1
9319,0
31354,1
28207,0
1965,0
1595,0
14412,0
26848,0
5268,0
3067,0
29773,1
19764,1
7915,0
27826,1
18771,0
17842,1
6644,1
12890,1
16277,0
12738,1
27660,1
2898,1
16818,1
28089,1
17865,1
3253,0
28697,1
27444,0
31598,0
21373,1
16919,1
16726,0
12075,0
3416,1
28305,0
18758,1
15391,1
4164,0
17929,0
19640,0
2827,0
15650,0
6599,0
17925,1
2084,0
17940,1
26777,0
2117,1
26456,1
20711,1
21641,1
10325,0
19957,0
5050,1
7842,1
16893,0
1798,0
31704,1
29574,1
26901,1
26198,1
8179,0
7920,1
17171,0
13718,1
26554,0
5811,1
11222,1
30677,1
30327,1
3831,0
31533,1
27319,1
20529,1
11720,1
20103,1
22911,1
27323,0
22817,1
11709,0
25165,1
24537,1
16117,0
30248,1
23075,1
27509,1
24109,0
2248,1
30055,1
31909,0
27327,1
2736,1
28605,1
15593,1
4434,1
22334,0
28191,0
25141,1
5031,0
28333,1
4266,0
25131,1
25600,0
25173,1
14501,1
21539,1
7962,1
24228,0
12719,0
6358,1
5875,1
13355,0
18393,1
5842,1
31392,1
18944,1
23855,0
26372,1
21114,0
13065,0
17248,0
28750,0
12620,1
4745,1
5912,0
23727,0
23734,0
1023,0
12512,1
20678,0
13615,1
31092,0
29177,1
17367,0
31159,0
28381,0
7347,0
11416,1
28496,0
23787,1
5014,1
30340,1
24011,0
29829,0
8882,1
16836,1
4578,1
31211,1
17305,1
31880,0
32537,1
20839,1
2786,0
29186,0
10255,1
20937,1
16402,0
26498,0
29676,0
2941,0
1270,1
19636,1
5070,1
27568,1
716,1
8427,0
15536,0
14867,0
13011,0
16952,1
3453,0
24239,1
2182,0
22304,1
22784,0
19211,0
27440,1
3471,0
2253,1
29110,0
1320,0
27426,1
11448,1
20507,0
7910,1
8843,0
7742,1
16405,1
30822,0
32643,1
1599,1
4717,1
8980,0
20817,1
32642,1
3693,1
9271,1
1909,0
9026,0
18752,0
17477,0
2042,1
17486,0
71,1
21223,1
3873,0
10889,1
13741,1
26511,1
30499,1
27160,0
4280,0
27461,0
10820,0
168,0
7869,1
32089,1
18062,0
17232,1
11049,0
26432,1
13288,0
21354,0
23495,0
12709,0
15204,1
8891,0
31594,0
19252,0
16569,0
3556,1
30298,1
20149,0
4531,1
11512,0
10523,0
20142,1
25305,0
8095,1
5348,0
4881,0
23481,1
4605,1
1018,1
30512,1
1130,0
26531,0
9723,0
6113,1
16563,0
30763,0
12264,0
32214,1
22759,1
15007,1
27905,1
2066,0
24389,0
26308,0
21891,1
1843,0
5631,0
18571,0
12435,0
28738,1
15883,1
5068,0
6455,1
15746,0
5928,0
12973,0
31642,1
12203,1
21513,1
27686,1
6508,0
17879,1
17259,0
8604,0
31018,0
21155,0
28628,1
31790,1
29938,0
27799,1
7751,0
5104,1
159,1
22256,0
26260,1
16977,0
8341,0
6517,1
16822,0
28500,1
16484,1
21614,1
12946,1
10929,0
8691,1
29893,0
32772,0
13586,0
13911,0
25176,0
6155,0
25126,1
3526,0
30334,0
901,1
28514,1
15810,0
32506,0
11144,1
32364,0
10972,1
12935,1
18379,1
30180,0
8557,1
27118,0
18198,0
30117,0
13344,0
28836,0
21236,0
6297,1
32337,0
31624,0
20410,1
25472,1
865,0
23630,1
23112,0
24611,1
6104,1
11250,1
19829,0
28636,1
13796,1
3696,1
14116,1
5730,1
7471,1
22881,1
18734,1
27907,0
872,0
11447,1
22214,0
30746,0
13044,0
5474,1
1692,1
30720,0
26288,1
18076,1
8947,0
11069,1
11185,1
32539,0
21142,0
21549,1
23313,0
22230,0
14490,1
26741,1
26165,0
7037,1
3183,1
21963,0
397,0
14962,1
2341,1
12448,0
31056,1
3664,0
20005,0
24176,1
31740,0
29499,1
15927,1
5330,1
10621,1
22145,0
31929,0
18457,0
22829,0
11711,1
5588,0
5218,0
1898,1
15060,0
27791,0
14126,0
13254,0
24901,1
25514,1
27655,0
29969,1
395,1
12254,0
3988,0
12864,0
14696,1
32406,1
118,0
21008,1
11287,0
17161,0
27552,1
22842,1
17744,0
7612,1
16806,1
2101,0
19488,0
3931,0
25470,0
13025,0
19125,0
18214,0
23413,1
15208,1
25944,1
214,1
26212,0
32252,1
26654,0
12088,1
24468,0
9941,0
21501,1
10481,0
14173,1
13488,1
27922,0
9211,0
3137,0
31039,1
19855,0
12749,1
705,0
31310,1
12362,0
32355,1
3938,0
4501,0
8344,1
15956,0
8372,0
9177,1
12967,1
9017,1
4946,0
17102,1
17549,0
5571,0
1144,0
9699,0
20264,0
19243,0
131,1
7540,0
3070,1
14854,1
21350,1
15721,1
12383,1
29930,1
31887,1
11407,0
4639,0
502,0
10691,1
13365,0
9683,1
5219,1
32512,1
31394,1
22947,1
21467,0
10884,0
19493,0
25510,0
26950,1
6008,1
4640,1
25956,0
15988,1
20090,1
20781,1
8225,1
14961,1
11588,0
32131,0
8504,0
32044,0
21667,0
3908,1
13603,1
27977,1
2629,1
19548,1
24742,0
15376,1
23517,1
23196,0
14353,1
29591,1
1869,0
32735,0
10637,1
4924,0
25599,1
20947,0
7449,1
30649,0
3235,1
7876,0
32821,0
10559,1
3392,1
25885,1
1160,0
2169,0
17547,1
10878,0
30237,0
